Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Jamie McGinn,84,TOT,NHL,LW,2015-16,27,22,17,39,-7,33,13,9,0,5,156,14.1,1201,0.26,0.2,0.46,1.86,3.6,1.3,5
Eric Staal,83,TOT,NHL,C,2015-16,31,13,26,39,-3,34,12,1,0,0,199,6.5,1540,0.16,0.31,0.47,2.4,1.6,1.8,3.4
Justin Abdelkader,82,DET,NHL,LW,2015-16,28,19,23,42,-16,120,13,6,0,4,155,12.3,1512,0.23,0.28,0.51,1.89,2.7,1.1,3.8
Karl Alzner,82,WSH,NHL,D,2015-16,27,4,17,21,14,26,4,0,0,1,75,5.3,1753,0.05,0.21,0.26,0.91,0.6,4.7,5.4
Mikael Backlund,82,CGY,NHL,C,2015-16,26,21,26,47,10,28,15,3,3,4,155,13.5,1347,0.26,0.32,0.57,1.89,3.7,1.7,5.5
Francois Beauchemin,82,COL,NHL,D,2015-16,35,8,26,34,-7,38,6,2,0,2,127,6.3,2057,0.1,0.32,0.41,1.55,2.1,3.9,6
Jamie Benn,82,DAL,NHL,LW,2015-16,26,41,48,89,7,64,22,17,2,5,247,16.6,1642,0.5,0.59,1.09,3.01,10.3,1.7,12.1
Troy Brouwer,82,STL,NHL,RW,2015-16,30,18,21,39,2,62,11,7,0,4,142,12.7,1394,0.22,0.26,0.48,1.73,2.5,1.8,4.3
Dustin Brown,82,LAK,NHL,RW,2015-16,31,11,17,28,-5,30,9,2,0,0,218,5,1326,0.13,0.21,0.34,2.66,0.7,1.2,1.9
Brent Burns,82,SJS,NHL,D,2015-16,30,27,48,75,-5,53,19,7,1,4,353,7.6,2121,0.33,0.59,0.91,4.3,8.8,4.1,12.9
Brian Campbell,82,FLA,NHL,D,2015-16,36,6,25,31,31,26,5,0,1,1,99,6.1,1827,0.07,0.3,0.38,1.21,1.9,5.8,7.8
Gregory Campbell,82,CBJ,NHL,C,2015-16,32,3,8,11,-6,78,3,0,0,2,58,5.2,866,0.04,0.1,0.13,0.71,-0.8,0.7,-0.2
Jason Chimera,82,WSH,NHL,LW,2015-16,36,20,20,40,0,22,14,4,2,3,165,12.1,1152,0.24,0.24,0.49,2.01,3.5,1.2,4.7
Andrew Cogliano,82,ANA,NHL,LW,2015-16,28,9,23,32,2,28,7,0,2,3,131,6.9,1183,0.11,0.28,0.39,1.6,1.3,1.7,3
Charlie Coyle,82,MIN,NHL,C,2015-16,23,21,21,42,1,16,19,2,0,4,140,15,1419,0.26,0.26,0.51,1.71,3.2,1.8,4.9
Matt Cullen,82,PIT,NHL,C,2015-16,39,16,16,32,5,20,13,0,3,4,118,13.6,1138,0.2,0.2,0.39,1.44,2.2,1.3,3.6
