Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Trevor Daley,82,TOT,NHL,D,2015-16,32,6,22,28,9,34,5,1,0,0,130,4.6,1512,0.07,0.27,0.34,1.59,1.9,3.7,5.6
Drew Doughty,82,LAK,NHL,D,2015-16,26,14,37,51,24,52,4,9,1,3,197,7.1,2297,0.17,0.45,0.62,2.4,4.5,7.1,11.6
Cody Eakin,82,DAL,NHL,C,2015-16,24,16,19,35,3,42,11,2,3,1,132,12.1,1342,0.2,0.23,0.43,1.61,2.1,1.3,3.4
Mattias Ekholm,82,NSH,NHL,D,2015-16,25,8,27,35,14,44,6,1,1,3,114,7,1660,0.1,0.33,0.43,1.39,2.8,5,7.8
Loui Eriksson,82,BOS,NHL,RW,2015-16,30,30,33,63,13,12,18,10,2,5,184,16.3,1598,0.37,0.4,0.77,2.24,6,2.2,8.2
Vernon Fiddler,82,DAL,NHL,C,2015-16,35,12,10,22,5,31,9,1,2,0,98,12.2,954,0.15,0.12,0.27,1.2,1.2,1.1,2.3
Filip Forsberg,82,NSH,NHL,LW,2015-16,21,33,31,64,1,47,24,8,1,3,247,13.4,1562,0.4,0.38,0.78,3.01,6.7,1.8,8.5
Alex Galchenyuk,82,MTL,NHL,C,2015-16,21,30,26,56,-8,20,21,9,0,4,201,14.9,1333,0.37,0.32,0.68,2.45,5.8,1.2,7
Stephen Gionta,82,NJD,NHL,C,2015-16,32,1,10,11,-13,43,1,0,0,0,62,1.6,1001,0.01,0.12,0.13,0.76,-1.4,1,-0.5
Mark Giordano,82,CGY,NHL,D,2015-16,32,21,35,56,-5,54,11,9,1,2,212,9.9,2032,0.26,0.43,0.68,2.59,5.9,3.2,9.2
Alex Goligoski,82,DAL,NHL,D,2015-16,30,5,32,37,21,34,4,1,0,1,127,3.9,1954,0.06,0.39,0.45,1.55,2.4,4.9,7.2
Mikael Granlund,82,MIN,NHL,C,2015-16,23,13,31,44,-12,20,10,2,1,3,160,8.1,1486,0.16,0.38,0.54,1.95,2.3,1.3,3.6
Andy Greene,82,NJD,NHL,D,2015-16,33,4,9,13,7,26,3,1,0,0,63,6.3,1882,0.05,0.11,0.16,0.77,-0.4,6.1,5.7
Taylor Hall,82,EDM,NHL,LW,2015-16,24,26,39,65,-4,54,22,4,0,6,286,9.1,1575,0.32,0.48,0.79,3.49,5.8,1.8,7.6
Dougie Hamilton,82,CGY,NHL,D,2015-16,22,12,31,43,-14,46,7,5,0,3,190,6.3,1621,0.15,0.38,0.52,2.32,4,1.7,5.7
Nick Holden,82,COL,NHL,D,2015-16,28,6,16,22,-1,24,6,0,0,0,98,6.1,1794,0.07,0.2,0.27,1.2,0.9,3.9,4.7
Patric Hornqvist,82,PIT,NHL,RW,2015-16,29,22,29,51,15,36,13,9,0,3,257,8.6,1382,0.27,0.35,0.62,3.13,4.4,2,6.4
Bo Horvat,82,VAN,NHL,C,2015-16,20,16,24,40,-30,18,12,4,0,4,155,10.3,1405,0.2,0.29,0.49,1.89,2.4,0.5,2.9
Jarome Iginla,82,COL,NHL,RW,2015-16,38,22,25,47,-22,41,9,13,0,3,182,12.1,1301,0.27,0.3,0.57,2.22,4,0.6,4.6
Boone Jenner,82,CBJ,NHL,C,2015-16,22,30,19,49,-15,77,20,9,1,3,225,13.3,1346,0.37,0.23,0.6,2.74,5.2,0.8,6
Patrick Kane,82,CHI,NHL,RW,2015-16,27,46,60,106,17,30,29,17,0,9,287,16,1674,0.56,0.73,1.29,3.5,12.4,2.6,15
Erik Karlsson,82,OTT,NHL,D,2015-16,25,16,66,82,-2,50,15,1,0,3,248,6.5,2375,0.2,0.8,1,3.02,8.4,3.2,11.7
Phil Kessel,82,PIT,NHL,RW,2015-16,28,26,33,59,9,18,22,4,0,5,274,9.5,1507,0.32,0.4,0.72,3.34,5.4,1.9,7.2
Mikko Koivu,82,MIN,NHL,C,2015-16,32,17,39,56,6,40,6,10,1,2,141,12.1,1634,0.21,0.48,0.68,1.72,3.7,2.2,6
Evgeny Kuznetsov,82,WSH,NHL,C,2015-16,23,20,57,77,27,32,15,5,0,4,193,10.4,1428,0.24,0.7,0.94,2.35,6.9,2.6,9.6
Adam Larsson,82,NJD,NHL,D,2015-16,23,3,15,18,15,77,3,0,0,1,65,4.6,1846,0.04,0.18,0.22,0.79,0.1,6.6,6.7
Mark Letestu,82,EDM,NHL,C,2015-16,30,10,15,25,-21,10,5,3,2,0,107,9.3,1294,0.12,0.18,0.3,1.3,0.3,0.7,1
Elias Lindholm,82,CAR,NHL,C,2015-16,21,11,28,39,-23,24,9,2,0,3,176,6.3,1485,0.13,0.34,0.48,2.15,1.5,1.1,2.6
Andrei Markov,82,MTL,NHL,D,2015-16,37,5,39,44,-6,38,1,4,0,0,117,4.3,1955,0.06,0.48,0.54,1.43,3,3.7,6.7
Patrick Marleau,82,SJS,NHL,LW,2015-16,36,25,23,48,-22,10,13,11,1,5,216,11.6,1560,0.3,0.28,0.59,2.63,3.8,0.9,4.7
Cody McLeod,82,COL,NHL,LW,2015-16,31,8,5,13,1,138,7,1,0,1,73,11,864,0.1,0.06,0.16,0.89,-0.1,1.1,1
J.T. Miller,82,NYR,NHL,C,2015-16,22,22,21,43,10,46,20,2,0,5,135,16.3,1233,0.27,0.26,0.52,1.65,4,1.5,5.5
Ryan Murray,82,CBJ,NHL,D,2015-16,22,4,21,25,-10,40,3,1,0,0,90,4.4,1873,0.05,0.26,0.3,1.1,0.9,2.9,3.8
Jake Muzzin,82,LAK,NHL,D,2015-16,26,8,32,40,7,64,7,1,0,1,203,3.9,1891,0.1,0.39,0.49,2.48,3,4.8,7.8
James Neal,82,NSH,NHL,RW,2015-16,28,31,27,58,27,65,27,4,0,3,268,11.6,1564,0.38,0.33,0.71,3.27,5.8,2.9,8.7
Nino Niederreiter,82,MIN,NHL,RW,2015-16,23,20,23,43,9,36,18,2,0,1,159,12.6,1275,0.24,0.28,0.52,1.94,3.6,1.9,5.5
Matt Niskanen,82,WSH,NHL,D,2015-16,29,5,27,32,10,38,3,2,0,3,150,3.3,2022,0.06,0.33,0.39,1.83,1.6,4.9,6.6
Gustav Nyquist,82,DET,NHL,RW,2015-16,26,17,26,43,-2,34,10,7,0,3,161,10.6,1244,0.21,0.32,0.52,1.96,3.3,1.4,4.7
Johnny Oduya,82,DAL,NHL,D,2015-16,34,4,17,21,8,26,3,0,1,0,63,6.3,1671,0.05,0.21,0.26,0.77,0.8,3.3,4.1
Dmitry Orlov,82,WSH,NHL,D,2015-16,24,8,21,29,8,26,8,0,0,3,90,8.9,1314,0.1,0.26,0.35,1.1,2.5,3.3,5.9
Max Pacioretty,82,MTL,NHL,LW,2015-16,27,30,34,64,-10,34,21,8,1,6,303,9.9,1519,0.37,0.41,0.78,3.7,6.2,1.3,7.5
Jean-Gabriel Pageau,82,OTT,NHL,C,2015-16,23,19,24,43,17,26,11,1,7,2,133,14.3,1370,0.23,0.29,0.52,1.62,3.4,1.9,5.3
Kyle Palmieri,82,NJD,NHL,RW,2015-16,24,30,27,57,3,39,19,11,0,4,222,13.5,1460,0.37,0.33,0.7,2.71,5.9,2.3,8.2
Joe Pavelski,82,SJS,NHL,C,2015-16,31,38,40,78,25,30,26,12,0,11,224,17,1625,0.46,0.49,0.95,2.73,8.4,3,11.5
Corey Perry,82,ANA,NHL,RW,2015-16,30,34,28,62,2,68,22,12,0,6,215,15.8,1452,0.41,0.34,0.76,2.62,6.8,2.1,8.9
Tomas Plekanec,82,MTL,NHL,C,2015-16,33,14,40,54,4,36,13,1,0,1,189,7.4,1520,0.17,0.49,0.66,2.3,3.3,1.9,5.2
Michael Raffl,82,PHI,NHL,LW,2015-16,27,13,18,31,9,30,12,1,0,4,132,9.8,1173,0.16,0.22,0.38,1.61,1.6,1.8,3.4
Brad Richardson,82,ARI,NHL,RW,2015-16,30,11,20,31,8,46,11,0,0,3,117,9.4,1281,0.13,0.24,0.38,1.43,1.2,1.7,2.9
Tobias Rieder,82,ARI,NHL,RW,2015-16,23,14,23,37,-21,10,12,2,0,1,189,7.4,1419,0.17,0.28,0.45,2.3,1.8,0.6,2.5
Morgan Rielly,82,TOR,NHL,D,2015-16,21,9,27,36,-17,28,6,2,1,0,167,5.4,1905,0.11,0.33,0.44,2.04,2.6,3,5.6
Rasmus Ristolainen,82,BUF,NHL,D,2015-16,21,9,32,41,-21,33,5,4,0,1,202,4.5,2073,0.11,0.39,0.5,2.46,3.2,3.5,6.7
Daniel Sedin,82,VAN,NHL,LW,2015-16,35,28,33,61,7,36,20,8,0,6,258,10.9,1503,0.34,0.4,0.74,3.15,5.8,2.2,8
Jakob Silfverberg,82,ANA,NHL,RW,2015-16,25,20,19,39,8,32,18,2,0,2,215,9.3,1392,0.24,0.23,0.48,2.62,2.8,2.2,5
Jeff Skinner,82,CAR,NHL,LW,2015-16,23,28,23,51,-1,38,24,4,0,7,258,10.9,1336,0.34,0.28,0.62,3.15,5.2,1.8,7
Craig Smith,82,NSH,NHL,RW,2015-16,26,21,16,37,4,40,19,2,0,6,199,10.6,1245,0.26,0.2,0.45,2.43,3.1,1.6,4.7
Reilly Smith,82,FLA,NHL,RW,2015-16,24,25,25,50,19,31,20,5,0,3,173,14.5,1526,0.3,0.3,0.61,2.11,4.3,2.3,6.6
Carl Soderberg,82,COL,NHL,C,2015-16,30,12,39,51,-7,32,8,3,1,0,163,7.4,1477,0.15,0.48,0.62,1.99,2.9,1.4,4.3
Jordan Staal,82,CAR,NHL,C,2015-16,27,20,28,48,6,34,14,6,0,4,151,13.2,1501,0.24,0.34,0.59,1.84,3.5,2.3,5.8
Lee Stempniak,82,TOT,NHL,RW,2015-16,32,19,32,51,4,38,15,3,1,4,146,13,1471,0.23,0.39,0.62,1.78,3.9,2.2,6.1
Ryan Suter,82,MIN,NHL,D,2015-16,31,8,43,51,10,30,4,3,1,2,188,4.3,2345,0.1,0.52,0.62,2.29,3.8,6.3,10
Chris Thorburn,82,WPG,NHL,RW,2015-16,32,6,6,12,-1,81,5,0,1,2,70,8.6,830,0.07,0.07,0.15,0.85,-0.3,0.8,0.6
Joe Thornton,82,SJS,NHL,C,2015-16,36,19,63,82,25,54,11,8,0,6,121,15.7,1506,0.23,0.77,1,1.48,7.1,2.9,10
Tyler Toffoli,82,LAK,NHL,C,2015-16,23,31,27,58,35,20,21,9,1,4,213,14.6,1420,0.38,0.33,0.71,2.6,6.1,3,9.1
Trevor van Riemsdyk,82,CHI,NHL,D,2015-16,24,3,11,14,-5,31,3,0,0,1,85,3.5,1639,0.04,0.13,0.17,1.04,-0.1,3,2.9
Blake Wheeler,82,WPG,NHL,RW,2015-16,29,26,52,78,8,49,21,3,2,5,256,10.2,1623,0.32,0.63,0.95,3.12,7.3,2.1,9.4
Justin Williams,82,WSH,NHL,RW,2015-16,34,22,30,52,15,36,19,3,0,3,201,10.9,1366,0.27,0.37,0.63,2.45,4.5,2.1,6.6
Tom Wilson,82,WSH,NHL,RW,2015-16,21,7,16,23,3,163,7,0,0,1,99,7.1,1059,0.09,0.2,0.28,1.21,0.4,1.2,1.7
Keith Yandle,82,NYR,NHL,D,2015-16,29,5,42,47,-4,40,3,2,0,1,160,3.1,1637,0.06,0.51,0.57,1.95,3.9,2.4,6.3
Henrik Zetterberg,82,DET,NHL,LW,2015-16,35,13,37,50,-15,24,11,2,0,3,214,6.1,1592,0.16,0.45,0.61,2.61,2.7,1.2,3.9
Cam Atkinson,81,CBJ,NHL,RW,2015-16,26,27,26,53,-8,22,21,4,2,3,226,11.9,1442,0.33,0.32,0.65,2.79,5,1.2,6.2
Josh Bailey,81,NYI,NHL,RW,2015-16,26,12,20,32,-7,22,8,4,0,2,105,11.4,1284,0.15,0.25,0.4,1.3,1.4,1.1,2.5
Alexander Burmistrov,81,WPG,NHL,C,2015-16,24,7,14,21,-11,32,7,0,0,2,102,6.9,1310,0.09,0.17,0.26,1.26,-0.5,0.9,0.4
Dustin Byfuglien,81,WPG,NHL,D,2015-16,30,19,34,53,4,119,15,3,1,6,247,7.7,2041,0.23,0.42,0.65,3.05,5.6,4.1,9.7
Blake Comeau,81,COL,NHL,LW,2015-16,29,12,24,36,-9,58,8,2,2,3,142,8.5,1428,0.15,0.3,0.44,1.75,1.3,1.3,2.6
Max Domi,81,ARI,NHL,LW,2015-16,20,18,34,52,3,72,15,3,0,0,156,11.5,1326,0.22,0.42,0.64,1.93,4.3,1.6,5.8
Anthony Duclair,81,ARI,NHL,LW,2015-16,20,20,24,44,12,49,12,8,0,2,105,19,1164,0.25,0.3,0.54,1.3,4,1.8,5.8
Mathew Dumba,81,MIN,NHL,D,2015-16,21,10,16,26,1,38,4,6,0,3,152,6.6,1364,0.12,0.2,0.32,1.88,2.4,3.2,5.6
Jack Eichel,81,BUF,NHL,C,2015-16,19,24,32,56,-16,22,16,8,0,5,238,10.1,1549,0.3,0.4,0.69,2.94,4.9,1.4,6.3
Luke Glendening,81,DET,NHL,C,2015-16,26,8,13,21,4,46,8,0,0,3,88,9.1,1181,0.1,0.16,0.26,1.09,0,1.5,1.5
Ron Hainsey,81,CAR,NHL,D,2015-16,34,5,14,19,-13,37,5,0,0,2,131,3.8,1808,0.06,0.17,0.23,1.62,0.5,3.8,4.3
Tomas Hertl,81,SJS,NHL,C,2015-16,22,21,25,46,16,26,18,3,0,3,202,10.4,1294,0.26,0.31,0.57,2.49,3.9,2.2,6.1
Niklas Hjalmarsson,81,CHI,NHL,D,2015-16,28,2,22,24,13,32,2,0,0,0,77,2.6,1813,0.02,0.27,0.3,0.95,0.6,4.9,5.6
Calle Jarnkrok,81,NSH,NHL,C,2015-16,24,16,14,30,1,14,12,3,1,4,125,12.8,1307,0.2,0.17,0.37,1.54,1.6,1.5,3.1
Jussi Jokinen,81,FLA,NHL,LW,2015-16,32,18,42,60,25,42,12,5,1,1,153,11.8,1482,0.22,0.52,0.74,1.89,4.8,2.5,7.3
Seth Jones,81,TOT,NHL,D,2015-16,21,3,28,31,-14,22,2,1,0,0,157,1.9,1788,0.04,0.35,0.38,1.94,1.6,2.6,4.2
Roman Josi,81,NSH,NHL,D,2015-16,25,14,47,61,-3,43,7,6,1,3,198,7.1,2064,0.17,0.58,0.75,2.44,6,4.4,10.4
William Karlsson,81,CBJ,NHL,C,2015-16,23,9,11,20,-9,6,9,0,0,1,108,8.3,1172,0.11,0.14,0.25,1.33,0,0.9,0.9
Alex Killorn,81,TBL,NHL,C,2015-16,26,14,26,40,14,44,11,3,0,3,154,9.1,1360,0.17,0.32,0.49,1.9,2.4,2.2,4.6
Anze Kopitar,81,LAK,NHL,C,2015-16,28,25,49,74,34,16,19,5,1,8,177,14.1,1690,0.31,0.6,0.91,2.19,6.5,3.3,9.7
Torey Krug,81,BOS,NHL,D,2015-16,24,4,40,44,9,33,3,1,0,1,244,1.6,1751,0.05,0.49,0.54,3.01,3.2,3.9,7.2
Nikolai Kulemin,81,NYI,NHL,LW,2015-16,29,9,13,22,13,22,9,0,0,3,92,9.8,1139,0.11,0.16,0.27,1.14,0.3,1.8,2.1
Brooks Laich,81,TOT,NHL,C,2015-16,32,2,12,14,-13,18,2,0,0,1,101,2,926,0.02,0.15,0.17,1.25,-0.8,0.5,-0.3
Nick Leddy,81,NYI,NHL,D,2015-16,24,5,35,40,-9,25,2,3,0,1,121,4.1,1832,0.06,0.43,0.49,1.49,2.8,3.1,5.9
John-Michael Liles,81,TOT,NHL,D,2015-16,35,6,15,21,-10,18,4,1,1,1,111,5.4,1645,0.07,0.19,0.26,1.37,1,3.3,4.3
Milan Lucic,81,LAK,NHL,LW,2015-16,27,20,35,55,26,79,18,2,0,5,124,16.1,1396,0.25,0.43,0.68,1.53,4.6,2.6,7.2
Jordan Martinook,81,ARI,NHL,LW,2015-16,23,9,15,24,-9,18,8,0,1,2,109,8.3,1230,0.11,0.19,0.3,1.35,0.3,1,1.3
Brayden McNabb,81,LAK,NHL,D,2015-16,25,2,12,14,11,92,2,0,0,1,91,2.2,1524,0.02,0.15,0.17,1.12,-0.1,4.3,4.2
Sean Monahan,81,CGY,NHL,C,2015-16,21,27,36,63,-6,18,20,7,0,5,197,13.7,1552,0.33,0.44,0.78,2.43,5.6,1.3,6.9
Matt Moulson,81,BUF,NHL,LW,2015-16,32,8,13,21,-5,16,6,2,0,1,111,7.2,964,0.1,0.16,0.26,1.37,0.6,1.1,1.7
Brock Nelson,81,NYI,NHL,LW,2015-16,24,26,14,40,-3,30,23,3,0,3,165,15.8,1280,0.32,0.17,0.49,2.04,3.9,1.3,5.2
Frans Nielsen,81,NYI,NHL,C,2015-16,31,20,32,52,1,12,11,7,2,2,181,11,1435,0.25,0.4,0.64,2.23,4.2,1.6,5.8
Mike Ribeiro,81,NSH,NHL,C,2015-16,35,7,43,50,11,62,5,2,0,0,76,9.2,1413,0.09,0.53,0.62,0.94,2.6,2.1,4.6
Bobby Ryan,81,OTT,NHL,RW,2015-16,28,22,34,56,-9,28,16,6,0,2,183,12,1391,0.27,0.42,0.69,2.26,5.2,0.8,6
Nick Schultz,81,PHI,NHL,D,2015-16,33,1,9,10,-1,42,1,0,0,0,70,1.4,1454,0.01,0.11,0.12,0.86,-0.6,3.1,2.5
Brent Seabrook,81,CHI,NHL,D,2015-16,30,14,35,49,6,32,8,6,0,3,167,8.4,1849,0.17,0.43,0.6,2.06,4.8,4.4,9.2
Andrej Sekera,81,EDM,NHL,D,2015-16,29,6,24,30,-15,12,4,2,0,2,155,3.9,1769,0.07,0.3,0.37,1.91,1.8,2.9,4.7
Riley Sheahan,81,DET,NHL,C,2015-16,24,14,11,25,-8,12,10,3,1,2,128,10.9,1234,0.17,0.14,0.31,1.58,1,1.1,2.1
Wayne Simmonds,81,PHI,NHL,RW,2015-16,27,32,28,60,-7,147,19,13,0,5,229,14,1396,0.4,0.35,0.74,2.83,6.3,1.3,7.6
Zack Smith,81,OTT,NHL,C,2015-16,27,25,11,36,16,80,16,4,5,4,121,20.7,1247,0.31,0.14,0.44,1.49,3.6,1.7,5.4
Tomas Tatar,81,DET,NHL,LW,2015-16,25,21,24,45,4,24,14,7,0,3,165,12.7,1162,0.26,0.3,0.56,2.04,4.2,1.5,5.8
Jacob Trouba,81,WPG,NHL,D,2015-16,21,6,15,21,10,62,5,0,1,0,133,4.5,1787,0.07,0.19,0.26,1.64,0.8,4.1,4.9
Mika Zibanejad,81,OTT,NHL,C,2015-16,22,21,30,51,-2,18,17,2,2,7,184,11.4,1439,0.26,0.37,0.63,2.27,4.4,1.1,5.5
Mats Zuccarello,81,NYR,NHL,RW,2015-16,28,26,35,61,2,34,19,7,0,4,166,15.7,1497,0.32,0.43,0.75,2.05,5.8,1.4,7.2
Matt Bartkowski,80,VAN,NHL,D,2015-16,27,6,12,18,-19,50,6,0,0,0,85,7.1,1490,0.08,0.15,0.23,1.06,0.8,2.1,2.9
Matt Beleskey,80,BOS,NHL,LW,2015-16,27,15,22,37,6,65,12,3,0,1,168,8.9,1269,0.19,0.28,0.46,2.1,2.3,1.6,3.9
Patrice Bergeron,80,BOS,NHL,C,2015-16,30,32,36,68,12,49,19,12,1,6,282,11.3,1587,0.4,0.45,0.85,3.53,6.9,2.1,9
Mikkel Boedker,80,TOT,NHL,LW,2015-16,26,17,34,51,-33,12,14,3,0,5,166,10.2,1481,0.21,0.43,0.64,2.08,3.6,0.2,3.8
Derick Brassard,80,NYR,NHL,C,2015-16,28,27,31,58,12,30,19,8,0,5,182,14.8,1431,0.34,0.39,0.73,2.28,5.7,1.8,7.5
Justin Braun,80,SJS,NHL,D,2015-16,28,4,19,23,11,36,4,0,0,0,114,3.5,1645,0.05,0.24,0.29,1.43,1,4.4,5.4
Zdeno Chara,80,BOS,NHL,D,2015-16,38,9,28,37,12,71,8,1,0,3,158,5.7,1928,0.11,0.35,0.46,1.98,2.8,4.5,7.3
Casey Cizikas,80,NYI,NHL,C,2015-16,24,8,21,29,4,31,7,0,1,4,84,9.5,1015,0.1,0.26,0.36,1.05,1.4,1.3,2.6
Braydon Coburn,80,TBL,NHL,D,2015-16,30,1,9,10,12,53,1,0,0,0,92,1.1,1340,0.01,0.11,0.13,1.15,-0.4,4,3.6
Sidney Crosby,80,PIT,NHL,C,2015-16,28,36,49,85,19,42,26,10,0,9,248,14.5,1638,0.45,0.61,1.06,3.1,9.1,2.4,11.5
Ryan Garbutt,80,TOT,NHL,C,2015-16,30,7,7,14,-11,48,6,0,1,3,135,5.2,867,0.09,0.09,0.18,1.69,-0.1,0.6,0.5
Michael Grabner,80,TOR,NHL,RW,2015-16,28,9,9,18,-4,12,8,0,1,2,116,7.8,1158,0.11,0.11,0.23,1.45,-0.2,1.2,1
Carl Hagelin,80,TOT,NHL,LW,2015-16,27,14,25,39,8,32,14,0,0,6,178,7.9,1257,0.18,0.31,0.49,2.23,2.5,1.8,4.3
Adam Henrique,80,NJD,NHL,C,2015-16,25,30,20,50,10,23,21,7,2,8,149,20.1,1586,0.38,0.25,0.63,1.86,4.7,2.8,7.6
Ryan Johansen,80,TOT,NHL,C,2015-16,23,14,46,60,6,61,10,4,0,2,185,7.6,1405,0.18,0.58,0.75,2.31,4.5,1.8,6.3
Chris Kunitz,80,PIT,NHL,LW,2015-16,36,17,23,40,29,41,15,2,0,1,150,11.3,1346,0.21,0.29,0.5,1.88,2.7,2.6,5.2
Dylan Larkin,80,DET,NHL,C,2015-16,19,23,22,45,11,34,19,4,0,5,221,10.4,1324,0.29,0.28,0.56,2.76,4,2,6
Anders Lee,80,NYI,NHL,LW,2015-16,25,15,21,36,-2,51,7,8,0,3,183,8.2,1166,0.19,0.26,0.45,2.29,2.5,1.2,3.7
Hampus Lindholm,80,ANA,NHL,D,2015-16,22,10,18,28,7,40,5,4,1,1,149,6.7,1760,0.13,0.23,0.35,1.86,2.1,5.2,7.3
Matt Martin,80,NYI,NHL,LW,2015-16,26,10,9,19,2,119,10,0,0,1,86,11.6,845,0.13,0.11,0.24,1.08,0.9,1,1.9
Dominic Moore,80,NYR,NHL,C,2015-16,35,6,9,15,-2,32,6,0,0,2,94,6.4,1064,0.08,0.11,0.19,1.18,-0.6,0.9,0.3
Vladislav Namestnikov,80,TBL,NHL,C,2015-16,23,14,21,35,17,45,13,1,0,2,106,13.2,1129,0.18,0.26,0.44,1.33,2.5,2,4.5
Chris Neil,80,OTT,NHL,RW,2015-16,36,5,8,13,-3,165,5,0,0,0,70,7.1,744,0.06,0.1,0.16,0.88,0,0.5,0.5
T.J. Oshie,80,WSH,NHL,RW,2015-16,29,26,25,51,16,34,15,11,0,5,185,14.1,1517,0.33,0.31,0.64,2.31,4.4,2.3,6.7
Artemi Panarin,80,CHI,NHL,LW,2015-16,24,30,47,77,8,32,22,8,0,7,187,16,1482,0.38,0.59,0.96,2.34,7.9,2,9.8
Victor Rask,80,CAR,NHL,C,2015-16,22,21,27,48,-6,24,16,5,0,5,160,13.1,1359,0.26,0.34,0.6,2,4,1.6,5.6
Antoine Roussel,80,DAL,NHL,LW,2015-16,26,13,16,29,11,123,13,0,0,6,111,11.7,1109,0.16,0.2,0.36,1.39,1.7,1.4,3.2
Brayden Schenn,80,PHI,NHL,C,2015-16,24,26,33,59,3,33,15,11,0,5,178,14.6,1352,0.33,0.41,0.74,2.23,5.7,1.7,7.4
Ryan Spooner,80,BOS,NHL,C,2015-16,24,13,36,49,-9,35,7,6,0,4,162,8,1211,0.16,0.45,0.61,2.03,3.6,0.9,4.5
Matt Stajan,80,CGY,NHL,C,2015-16,32,6,11,17,-4,52,4,0,2,0,58,10.3,1016,0.08,0.14,0.21,0.73,-0.3,0.8,0.5
Jarret Stoll,80,TOT,NHL,C,2015-16,33,4,5,9,-1,36,4,0,0,0,49,8.2,974,0.05,0.06,0.11,0.61,-1.2,1,-0.2
Vladimir Tarasenko,80,STL,NHL,RW,2015-16,24,40,34,74,7,37,28,12,0,7,292,13.7,1491,0.5,0.43,0.93,3.65,8.7,2.1,10.8
Jonathan Toews,80,CHI,NHL,C,2015-16,27,28,30,58,16,62,18,6,4,8,179,15.6,1540,0.35,0.38,0.73,2.24,5.4,2.4,7.7
David Backes,79,STL,NHL,C,2015-16,31,21,24,45,4,83,13,8,0,3,168,12.5,1519,0.27,0.3,0.57,2.13,3.2,2,5.2
Andre Burakovsky,79,WSH,NHL,LW,2015-16,20,17,21,38,4,12,17,0,0,1,126,13.5,1029,0.22,0.27,0.48,1.59,3.3,1.2,4.6
Alexandre Burrows,79,VAN,NHL,RW,2015-16,34,9,13,22,-13,49,7,2,0,0,135,6.7,1198,0.11,0.16,0.28,1.71,0.1,1,1.1
Brian Dumoulin,79,PIT,NHL,D,2015-16,24,0,16,16,11,14,0,0,0,0,101,0,1492,0,0.2,0.2,1.28,-0.1,3.7,3.7
